feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022-completionTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,SUM,completionTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022-cachedPromptTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,SUM,cachedPromptTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022-cacheCreationInputTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,SUM,cacheCreationInputTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022-cacheReadInputTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,SUM,cacheReadInputTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20241022-promptTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20241022,SUM,promptTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20241022-completionTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20241022,SUM,completionTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20241022-cachedPromptTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20241022,SUM,cachedPromptTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20241022-cacheCreationInputTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20241022,SUM,cacheCreationInputTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20241022-cacheReadInputTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20241022,SUM,cacheReadInputTokens,0
minimax-synthesizer-promptTokens,minimax-synthesizer,SUM,promptTokens,0
minimax-synthesizer-completionTokens,minimax-synthesizer,SUM,completionTokens,0
minimax-synthesizer-cachedPromptTokens,minimax-synthesizer,SUM,cachedPromptTokens,0
minimax-synthesizer-cacheCreationInputTokens,minimax-synthesizer,SUM,cacheCreationInputTokens,0
minimax-synthesizer-cacheReadInputTokens,minimax-synthesizer,SUM,cacheReadInputTokens,0
anthropic-modeling-claude-sonnet-4-20250514-promptTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,promptTokens,0
anthropic-modeling-claude-sonnet-4-20250514-completionTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,completionTokens,0
anthropic-modeling-claude-sonnet-4-20250514-cachedPromptTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,cachedPromptTokens,0
anthropic-modeling-claude-sonnet-4-20250514-cacheCreationInputTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,cacheCreationInputTokens,0
anthropic-modeling-claude-sonnet-4-20250514-cacheReadInputTokens,anthropic-modeling-claude-sonnet-4-20250514,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-opus-4-20250514-promptTokens,anthropic-modelling-claude-opus-4-20250514,SUM,promptTokens,0
anthropic-modelling-claude-opus-4-20250514-completionTokens,anthropic-modelling-claude-opus-4-20250514,SUM,completionTokens,0
anthropic-modelling-claude-opus-4-20250514-cachedPromptTokens,anthropic-modelling-claude-opus-4-20250514,SUM,cachedPromptTokens,0
anthropic-modelling-claude-opus-4-20250514-cacheCreationInputTokens,anthropic-modelling-claude-opus-4-20250514,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-opus-4-20250514-cacheReadInputTokens,anthropic-modelling-claude-opus-4-20250514,SUM,cacheReadInputTokens,0
11labs-synthesizer-promptTokens,11labs-synthesizer,SUM,promptTokens,0
11labs-synthesizer-completionTokens,11labs-synthesizer,SUM,completionTokens,0
11labs-synthesizer-cachedPromptTokens,11labs-synthesizer,SUM,cachedPromptTokens,0
11labs-synthesizer-cacheCreationInputTokens,11labs-synthesizer,SUM,cacheCreationInputTokens,0
11labs-synthesizer-cacheReadInputTokens,11labs-synthesizer,SUM,cacheReadInputTokens,0
azure-transcriber-promptTokens,azure-transcriber,SUM,promptTokens,0
azure-transcriber-completionTokens,azure-transcriber,SUM,completionTokens,0
azure-transcriber-cachedPromptTokens,azure-transcriber,SUM,cachedPromptTokens,0
azure-transcriber-cacheCreationInputTokens,azure-transcriber,SUM,cacheCreationInputTokens,0
azure-transcriber-cacheReadInputTokens,azure-transcriber,SUM,cacheReadInputTokens,0
azure-synthesizer-promptTokens,azure-synthesizer,SUM,promptTokens,0
azure-synthesizer-completionTokens,azure-synthesizer,SUM,completionTokens,0
azure-synthesizer-cachedPromptTokens,azure-synthesizer,SUM,cachedPromptTokens,0
